id,restaurant_name,category,price_tier,neighborhood,opening_hours,closing,average_rating,good_for_kids
1,ultrices libero,Japanese,Medium,Meatpacking District,10:00,20:00,4,TRUE
2,justo pellentesque viverra,Chinese,Expensive,Harlem,10:00,20:00,4,TRUE
3,in tempus,Mexican,Medium,Tudor City,10:00,20:00,4,TRUE
4,primis in faucibus,Mexican,Cheap,Upper East Side,10:00,20:00,3,TRUE
5,porttitor id,Spanish,Cheap,Inwood,10:00,20:00,2,FALSE
6,volutpat,Japanese,Medium,Morningside Heights,10:00,20:00,5,FALSE
7,vel nulla,French,Expensive,Little Italy,10:00,20:00,4,TRUE
8,tristique tortor,Vietnamese,Medium,Gramercy Park,10:00,20:00,3,TRUE
9,magna at nunc commodo,Korean,Cheap,SoHo,10:00,20:00,5,FALSE
10,dolor sit,Indian,Expensive,Chelsea,10:00,20:00,4,FALSE
11,eget eros elementum pellentesque,Japanese,Medium,Inwood,10:00,20:00,1,TRUE
12,nunc,Japanese,Expensive,Washington Heights,10:00,20:00,5,TRUE
13,ridiculus mus vivamus vestibulum,Thai,Medium,Gramercy Park,10:00,20:00,5,TRUE
14,sagittis sapien cum,Middle Eastern,Cheap,Sutton Place,10:00,20:00,1,TRUE
15,morbi sem mauris laoreet,Japanese,Cheap,Nolita,10:00,20:00,2,TRUE
16,turpis donec posuere metus,Japanese,Expensive,Lenox Hill,10:00,20:00,3,TRUE
17,ut,French,Cheap,Chinatown,10:00,20:00,1,FALSE
18,nullam,Korean,Expensive,Tudor City,10:00,20:00,3,TRUE
19,sit amet,Spanish,Cheap,Midtown,10:00,20:00,2,TRUE
20,magna,Japanese,Cheap,Little Italy,10:00,20:00,4,TRUE
21,mi integer ac,Japanese,Cheap,Yorkville,10:00,20:00,4,FALSE
22,fermentum,Korean,Expensive,Nolita,10:00,20:00,5,TRUE
23,convallis,Thai,Medium,Murray Hill,10:00,20:00,5,TRUE
24,morbi a ipsum integer,Spanish,Cheap,SoHo,10:00,20:00,4,FALSE
25,maecenas ut,Japanese,Cheap,SoHo,10:00,20:00,1,TRUE
26,rutrum nulla tellus,Japanese,Expensive,Stuyvesant Town,10:00,20:00,5,FALSE
27,nullam orci,Chinese,Expensive,Harlem,10:00,20:00,5,FALSE
28,quam pede lobortis ligula,Middle Eastern,Cheap,West Village,10:00,20:00,5,TRUE
29,justo,American,Expensive,Financial District,10:00,20:00,3,FALSE
30,tristique tortor eu,Spanish,Expensive,Morningside Heights,10:00,20:00,4,TRUE
31,nam tristique tortor,Thai,Expensive,Washington Heights,10:00,20:00,3,FALSE
32,tortor duis mattis egestas,French,Cheap,Sutton Place,10:00,20:00,5,TRUE
33,nam ultrices libero,Indian,Cheap,Turtle Bay,10:00,20:00,1,TRUE
34,blandit nam nulla,Indian,Cheap,East Village,10:00,20:00,1,FALSE
35,sapien in sapien iaculis,Korean,Expensive,Chelsea,10:00,20:00,1,TRUE
36,ligula vehicula,Middle Eastern,Cheap,Gramercy Park,10:00,20:00,3,TRUE
37,dui nec,Japanese,Expensive,Chinatown,10:00,20:00,4,FALSE
38,sit,Mexican,Cheap,Lower East Side,10:00,20:00,2,FALSE
39,cubilia curae donec pharetra,French,Cheap,West Village,10:00,20:00,3,FALSE
40,adipiscing,Japanese,Cheap,Morningside Heights,10:00,20:00,5,TRUE
41,rhoncus,Italian,Expensive,Gramercy Park,10:00,20:00,2,TRUE
42,ligula nec sem,Chinese,Cheap,Inwood,10:00,20:00,3,TRUE
43,erat nulla tempus,Mexican,Cheap,Upper East Side,10:00,20:00,3,TRUE
44,eleifend,Middle Eastern,Cheap,Meatpacking District,10:00,20:00,2,TRUE
45,erat fermentum justo nec,Chinese,Expensive,Greenwich Village,10:00,20:00,3,TRUE
46,consequat varius,Chinese,Medium,Murray Hill,10:00,20:00,2,FALSE
47,enim blandit,American,Medium,Lenox Hill,10:00,20:00,3,TRUE
48,morbi vestibulum velit,French,Expensive,Battery Park City,10:00,20:00,4,TRUE
49,tellus nulla ut,French,Cheap,Financial District,10:00,20:00,3,TRUE
50,pulvinar nulla pede,Mexican,Cheap,Inwood,10:00,20:00,2,FALSE
51,posuere,Middle Eastern,Cheap,Tudor City,10:00,20:00,1,TRUE
52,aenean lectus,American,Expensive,Yorkville,10:00,20:00,4,FALSE
53,tempus,Chinese,Expensive,Midtown,10:00,20:00,3,FALSE
54,velit id pretium,Italian,Cheap,Kips Bay,10:00,20:00,4,FALSE
55,nascetur ridiculus mus etiam,Italian,Expensive,Lincoln Square,10:00,20:00,3,FALSE
56,nec sem,Vietnamese,Cheap,Kips Bay,10:00,20:00,2,FALSE
57,justo pellentesque viverra,Japanese,Expensive,Nolita,10:00,20:00,2,FALSE
58,primis in faucibus,American,Medium,Lower East Side,10:00,20:00,4,FALSE
59,etiam justo etiam,Italian,Medium,Hell's Kitchen,10:00,20:00,3,TRUE
60,nunc commodo,Korean,Cheap,Greenwich Village,10:00,20:00,2,TRUE
61,volutpat eleifend donec,Mexican,Cheap,Gramercy Park,10:00,20:00,2,FALSE
62,sodales sed tincidunt,Mexican,Cheap,Meatpacking District,10:00,20:00,1,FALSE
63,nulla neque,Japanese,Expensive,Battery Park City,10:00,20:00,5,TRUE
64,quis odio,Thai,Medium,Flatiron District,10:00,20:00,5,TRUE
65,a odio in hac,Vietnamese,Cheap,Tudor City,10:00,20:00,2,FALSE
66,integer,Korean,Medium,Nolita,10:00,20:00,4,FALSE
67,libero quis orci nullam,Spanish,Expensive,Yorkville,10:00,20:00,5,FALSE
68,libero quis,Chinese,Medium,Nolita,10:00,20:00,2,TRUE
69,maecenas ut,Japanese,Cheap,Turtle Bay,10:00,20:00,1,FALSE
70,justo,Thai,Cheap,Upper West Side,10:00,20:00,1,TRUE
71,sed accumsan felis,Vietnamese,Expensive,Kips Bay,10:00,20:00,1,TRUE
72,lorem vitae mattis nibh,American,Expensive,Kips Bay,10:00,20:00,2,FALSE
73,pellentesque viverra pede,Thai,Medium,Chinatown,10:00,20:00,4,FALSE
74,odio,Korean,Expensive,Financial District,10:00,20:00,1,TRUE
75,sed tincidunt eu felis,French,Cheap,NoHo,10:00,20:00,1,TRUE
76,nisl ut,Korean,Medium,Chinatown,10:00,20:00,5,TRUE
77,nulla sed vel,Middle Eastern,Medium,Little Italy,10:00,20:00,3,TRUE
78,semper rutrum,French,Medium,Greenwich Village,10:00,20:00,4,TRUE
79,morbi non quam,Chinese,Cheap,Upper East Side,10:00,20:00,1,FALSE
80,interdum in ante,Thai,Cheap,Upper East Side,10:00,20:00,4,TRUE
81,est,Italian,Medium,Morningside Heights,10:00,20:00,3,TRUE
82,id massa id,Vietnamese,Cheap,Inwood,10:00,20:00,5,FALSE
83,pellentesque eget nunc,French,Medium,Morningside Heights,10:00,20:00,1,TRUE
84,eros elementum pellentesque,Italian,Cheap,Nolita,10:00,20:00,3,FALSE
85,posuere,Spanish,Expensive,Gramercy Park,10:00,20:00,5,FALSE
86,in faucibus orci,Thai,Cheap,East Village,10:00,20:00,5,TRUE
87,vestibulum ac est,Japanese,Expensive,Meatpacking District,10:00,20:00,1,FALSE
88,in,Middle Eastern,Cheap,Chelsea,10:00,20:00,1,TRUE
89,eu,Spanish,Medium,NoHo,10:00,20:00,2,FALSE
90,sapien urna pretium nisl,Chinese,Cheap,Lenox Hill,10:00,20:00,2,TRUE
91,mollis molestie lorem quisque,French,Cheap,Sutton Place,10:00,20:00,5,FALSE
92,tincidunt in,Thai,Expensive,Sutton Place,10:00,20:00,2,FALSE
93,nisl duis bibendum,Italian,Expensive,Turtle Bay,10:00,20:00,3,FALSE
94,semper rutrum nulla nunc,Spanish,Expensive,Turtle Bay,10:00,20:00,3,TRUE
95,erat volutpat,American,Expensive,Meatpacking District,10:00,20:00,5,TRUE
96,dictumst maecenas ut,Indian,Cheap,Upper East Side,10:00,20:00,5,FALSE
97,amet,French,Expensive,Lenox Hill,10:00,20:00,4,TRUE
98,ipsum ac tellus semper,Vietnamese,Medium,Roosevelt Island,10:00,20:00,1,FALSE
99,ut tellus nulla,Korean,Expensive,Nolita,10:00,20:00,2,FALSE
100,tortor id nulla ultrices,Indian,Medium,Financial District,10:00,20:00,3,FALSE
101,massa quis augue,Indian,Medium,Turtle Bay,10:00,20:00,4,FALSE
102,lacus,Chinese,Medium,Battery Park City,10:00,20:00,2,FALSE
103,enim,Thai,Medium,Hell's Kitchen,10:00,20:00,2,TRUE
104,vestibulum sit,Mexican,Medium,NoHo,10:00,20:00,2,TRUE
105,venenatis tristique fusce congue,American,Medium,Greenwich Village,10:00,20:00,3,FALSE
106,lobortis est,Spanish,Cheap,Yorkville,10:00,20:00,3,TRUE
107,rhoncus mauris enim leo,Spanish,Medium,Battery Park City,10:00,20:00,4,FALSE
108,penatibus et,Japanese,Medium,Inwood,10:00,20:00,4,FALSE
109,eu massa,Middle Eastern,Medium,Financial District,10:00,20:00,4,FALSE
110,ut at dolor quis,Vietnamese,Expensive,Little Italy,10:00,20:00,4,TRUE
111,etiam pretium,Japanese,Cheap,Stuyvesant Town,10:00,20:00,4,FALSE
112,bibendum felis sed interdum,Korean,Medium,Battery Park City,10:00,20:00,4,TRUE
113,tempus sit,Korean,Expensive,Inwood,10:00,20:00,1,FALSE
114,vel dapibus at,Mexican,Cheap,Meatpacking District,10:00,20:00,4,TRUE
115,at nulla suspendisse,Indian,Cheap,Lincoln Square,10:00,20:00,4,FALSE
116,id ligula suspendisse,Spanish,Expensive,Inwood,10:00,20:00,1,TRUE
117,ultrices posuere,French,Medium,Sutton Place,10:00,20:00,3,TRUE
118,congue diam,Mexican,Medium,Flatiron District,10:00,20:00,1,TRUE
119,sed,French,Expensive,SoHo,10:00,20:00,3,TRUE
120,diam id ornare,American,Medium,Financial District,10:00,20:00,4,FALSE
